keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Roberta Metsola',fr,EU,#88cc44,#88cc44,1,0.187911849799
'Jon Batiste',fr,unknown,#111111,#111111,1,0.187363149643
'Fumio Kishida',fr,Japan,#33aa99,#33aa99,3,0.187035135023
'Marco Buschmann',fr,Deutschland,#1818e8,#1818e8,1,0.186882150755
'Mathias Döpfner',fr,Deutschland,#1818e8,#1818e8,1,0.186850723341
'Richard Feynman',fr,USA,#18e8e8,#18e8e8,2,0.185937487052
'Königin Camilla',fr,UK,#e838e8,#e838e8,1,0.185576191160
'Paul Kagame',fr,Ruanda,#33ddaa,#33ddaa,1,0.184937494097
'Jack Teixeira',fr,USA,#18e8e8,#18e8e8,1,0.182231224380
'Richard David Precht',fr,Deutschland,#1818e8,#1818e8,1,0.181751097335
'Annalena Baerbock',fr,Deutschland,#1818e8,#1818e8,2,0.181431123015
'Thomas Haldenwang',fr,Deutschland,#1818e8,#1818e8,1,0.180378689831
'Anthony Albanese',fr,Australien,#aa9933,#aa9933,1,0.180332182721
'Sandra Maischberger',fr,Deutschland,#1818e8,#1818e8,1,0.179866065763
'Hun Sen',fr,Kambodscha,#33aadd,#33aadd,1,0.178567859374
'Ola Källenius',fr,Deutschland,#1818e8,#1818e8,2,0.176923180030
'Jack Ma',fr,China,#e88818,#e88818,2,0.176523199500
'Herschel Walker',fr,USA,#18e8e8,#18e8e8,1,0.176467413555
'Wolodymyr Selenski',fr,Ukraine,#e818e8,#e818e8,1,0.176280755108
'David Malpass',fr,USA,#18e8e8,#18e8e8,1,0.175753767218
'Fidel Castro',fr,Kuba,#dd33aa,#dd33aa,1,0.173605992460
'Sahra Wagenknecht',fr,Deutschland,#1818e8,#1818e8,3,0.173142414839
'Sundar Pichai',fr,USA,#18e8e8,#18e8e8,2,0.172355936295
'Aleksandar Vucic',fr,Serbien,#8844cc,#8844cc,2,0.172105204542
'Prinz William',fr,UK,#e838e8,#e838e8,1,0.170188046091
'Prinz George',fr,UK,#e838e8,#e838e8,1,0.169950633449
'Wolodymyr Selenskyj',fr,Ukraine,#e818e8,#e818e8,1,0.169757041513
'Prinz Andrew',fr,UK,#e838e8,#e838e8,1,0.169707124608
'Roland Busch',fr,Deutschland,#1818e8,#1818e8,1,0.168787989141
'Bruno Kahl',fr,Deutschland,#1818e8,#1818e8,1,0.168654066240
'Andreas Baum',fr,Deutschland,#1818e8,#1818e8,1,0.168427951670
'Vitali Klitschko',fr,Ukraine,#e818e8,#e818e8,1,0.167197337529
'Frank Plasberg',fr,Deutschland,#1818e8,#1818e8,1,0.166619086441
'Holger Friedrich',fr,Deutschland,#1818e8,#1818e8,1,0.166542517981
'Luisa Neubauer',fr,Deutschland,#1818e8,#1818e8,1,0.165924515367
'Maria Kolesnikowa',fr,Belarus,#e81858,#e81858,1,0.165595944040
'Winfried Kretschmann',fr,Deutschland,#1818e8,#1818e8,1,0.165113470512
'Liz Truss',fr,UK,#e838e8,#e838e8,1,0.164922164965
'Karl Jenkins',fr,UK,#e838e8,#e838e8,1,0.164913025303
'Sergey Brin',fr,USA,#18e8e8,#18e8e8,1,0.164477473306
'Viktor Orbán',fr,Ungarn,#111111,#111111,2,0.164350821372
'Björn Höcke',fr,Deutschland,#1818e8,#1818e8,1,0.164223895101
'Daniel Freund',fr,EU,#88cc44,#88cc44,1,0.163808053163
'Francoise Bettencourt-Meyers',fr,Frankreich,#e8e808,#e8e808,1,0.163494315023
'Saskia Esken',fr,Deutschland,#1818e8,#1818e8,2,0.163399421866
'Louis Klamroth',fr,Deutschland,#1818e8,#1818e8,1,0.162500858488
'Horst Seehofer',fr,Deutschland,#1818e8,#1818e8,1,0.161989991352
'Benjamin Netanyahu',fr,Israel,#3311cc,#3311cc,2,0.161814314570
'Rishi Sunak',fr,UK,#e838e8,#e838e8,2,0.160721108046
'Steven Milloy',fr,USA,#18e8e8,#18e8e8,1,0.160288544141
'Andrei Nikolajewitsch Kolmogorow',fr,Russland,#e81818,#e81818,1,0.160288544141
'Michael Mann',fr,USA,#18e8e8,#18e8e8,1,0.159606230871
'Antonio Guterres',fr,UN,#e888e8,#e888e8,2,0.159141133808
'Gautam Adani',fr,Indien,#995533,#995533,1,0.158833200126
'Sergej Schoigu',fr,Russland,#e81818,#e81818,1,0.157293822996
'Lukaschenko',fr,Belarus,#e81858,#e81858,2,0.156151364972
'Martin Schirdewan',fr,Deutschland,#1818e8,#1818e8,1,0.155018206661
'Lothar Wieler',fr,Deutschland,#1818e8,#1818e8,1,0.154958652095
'Andrzej Duda',fr,Polen,#cc8844,#cc8844,2,0.154126752278
'Bodo Ramelow',fr,Deutschland,#1818e8,#1818e8,1,0.152421686475
'Lula sa Silva',fr,Brasilien,#58e838,#58e838,2,0.151401118739
'Ed McVey',fr,UK,#e838e8,#e838e8,1,0.151206026201
'Julian Reichelt',fr,Deutschland,#1818e8,#1818e8,1,0.150951462242
'Chelsea Manning',fr,USA,#18e8e8,#18e8e8,1,0.149533277673
